0:	Dwarf remains
1:	Toolkit
3:	Nulodion's notes
4:	Ammo mould
14:	Railing
15:	Holy table napkin
16:	Magic whistle
17:	Grail bell
18:	Magic gold feather
20:	White cog
21:	Black cog
22:	Blue cog
23:	Red cog
24:	Rat poison
25:	Red vine worm
26:	Fishing trophy
27:	Fishing pass
28:	Insect repellent
30:	Bucket of wax
35:	Excalibur
74:	Khazard helmet
75:	Khazard armour
76:	Khazard cell keys
77:	Khali brew
78:	Ice arrows
84:	Staff of armadyl
85:	Shiny key
86:	Pendant of lucien
87:	Armadyl pendant
88:	Boots of lightness
89:	Boots of lightness
90:	Child's blanket
271:	Pressure gauge
272:	Fish food
274:	Poisoned fish food
275:	Grimy key
276:	Rubber tube
277:	Oil can
278:	Cattleprod
279:	Sheep feed
284:	Plague jacket
285:	Plague trousers
286:	Orange goblin mail
287:	Blue goblin mail
290:	Research package
291:	Research notes
292:	Book on baxtorian
294:	Glarial's pebble
295:	Glarial's amulet
296:	Glarial's urn
297:	Glarial's urn
300:	Rat's tail
337:	Giant carp
338:	Raw giant carp
409:	Empty oyster
410:	Empty oyster
415:	Ethenea
416:	Liquid honey
417:	Sulphuric broline
418:	Plague sample
419:	Touch paper
420:	Distillator
421:	Lathas' amulet
422:	Bird feed
424:	Pigeon cage
425:	Pigeon cage
430:	Doctors' gown
431:	Karamjan rum
433:	Pirate message
446:	'perfect' gold ore
455:	Barcrawl card
456:	Scorpion cage
457:	Scorpion cage
458:	Scorpion cage
459:	Scorpion cage
460:	Scorpion cage
461:	Scorpion cage
462:	Scorpion cage
463:	Scorpion cage
508:	Hatchet head
509:	Hatchet head
510:	Hatchet head
511:	Hatchet head
512:	Hatchet head
513:	Hatchet head
514:	Hatchet head
515:	Hatchet head
516:	Hatchet head
517:	Hatchet head
518:	Hatchet head
519:	Hatchet head
520:	Hatchet head
521:	Hatchet head
522:	Enchanted beef
523:	Enchanted rat meat
524:	Enchanted bear meat
525:	Enchanted chicken
547:	Picture
549:	Picture
552:	Ghostspeak amulet
553:	Muddy skull
587:	Orb of protection
588:	Orbs of protection
589:	Gnome amulet
594:	Lit torch
599:	Picture
601:	Goblin kitchen key
602:	Lens mould
603:	Observatory lens
604:	Bone shard
606:	Stone-plaque
607:	Tattered scroll
608:	Crumpled scroll
609:	Rashiliyia corpse
610:	Zadimus corpse
611:	Locating crystal
612:	Locating crystal
613:	Locating crystal
614:	Locating crystal
615:	Locating crystal
616:	Beads of the dead
618:	Bone beads
619:	Paramaya ticket
620:	Paramaya ticket
621:	Ship ticket
623:	Sword pommel
624:	Bervirius notes
625:	Wampum belt
666:	Portrait
667:	Blurite sword
668:	Blurite ore
669:	Specimen jar
670:	Specimen brush
672:	Special cup
674:	Cracked sample
675:	Rock pick
676:	Trowel
677:	Panning tray
678:	Panning tray
679:	Panning tray
680:	Nuggets
681:	Ancient talisman
682:	Unstamped letter
683:	Sealed letter
684:	Belt buckle
685:	Old boot
686:	Rusty sword
687:	Broken arrow
688:	Buttons
690:	Picture
691:	Level 1 certificate
692:	Level 2 certificate
693:	Level 3 certificate
694:	Ceramic remains
695:	Old tooth
696:	Invitation letter
697:	Damaged armour
698:	Broken armour
701:	Ammonium nitrate
702:	Unidentified liquid
703:	Nitroglycerin
704:	Ground charcoal
707:	Chemical compound
708:	Arcenia root
710:	Vase
711:	Book on chemicals
713:	Picture
714:	Radimus notes
715:	Radimus notes
716:	Bull roarer
717:	Scrawled note
718:	A scribbled note
719:	Scrumpled note
720:	Sketch
721:	Gold bowl
722:	Blessed gold bowl
723:	Golden bowl
724:	Golden bowl
725:	Golden bowl
726:	Golden bowl
727:	Hollow reed
728:	Hollow reed
729:	Shamans tome
730:	Binding book
731:	Enchanted vial
732:	Holy water
733:	Smashed glass
735:	Yommi tree seeds
736:	Yommi tree seeds
737:	Snakeweed mixture
738:	Ardrigal mixture
739:	Bravery potion
741:	Chunk of crystal
742:	Hunk of crystal
743:	Lump of crystal
744:	Heart crystal
745:	Heart crystal
746:	Dark dagger
747:	Glowing dagger
748:	Holy force
749:	Yommi totem
750:	Gilded totem
756:	Cadava potion
761:	Intel report
762:	Picture
763:	Broken shield
764:	Picture
765:	Broken shield
766:	Picture
769:	Certificate
770:	Picture
771:	Dramen branch
772:	Dramen staff
773:	'perfect' ring
774:	'perfect' necklace
775:	Cooking gauntlets
776:	Goldsmith gauntlets
777:	Chaos gauntlets
778:	Family gauntlets
779:	Crest part
780:	Crest part
781:	Crest part
783:	Bark sample
784:	Translation book
785:	Glough's journal
786:	Hazelmere's scroll
787:	Lumber order
788:	Glough's key
789:	Twigs
790:	Twigs
791:	Twigs
792:	Twigs
793:	Daconia rock
